,Unnamed: 0,Shoename,Category,Colour,Shoe_Price,CountOfSizes,Color1,Color2,Color3,Color4,Color5,Style_codeProduct_code,Reviews,Size,Comfort,Durability_quality_performance,Star_rating
11,11,Men's Fairbanks™ Omni-Heat™ Boot - Wide,Men's Fairbanks™ Omni-Heat™ Boot - Wide,2,3321.6,12,"Cordovan, Dark Adobe","Black, Ti Grey Steel",,,,1862291,254 Reviews,7/7.5/8/8.5/9/9.5/10/11/11.5/12/13/14,Not Comfortable,"This waterproof, insulated boot is perfect for slushy, wet, and cold conditions.",4.4
12,12,Men's Woodburn™ II Waterproof Omni-Heat™ Shoe,Men's Woodburn™ II Waterproof Omni-Heat™ Shoe,2,8096.4,7,"Black, Goldenrod","Cordovan, Garnet Red",,,,1552991,436 Reviews,9/11/11.5/12/13/14/15/,Very Comfortable,"These are the lightweight, waterproof hiking shoes you can wear all day.",4.4
13,13,Men's Telluron™ Omni-Heat™ II Boot,Men's Telluron™ Omni-Heat™ II Boot,1,7470.2784,4,"Graphite, Delta",,,,,1950921,291 Reviews,7/7.5/11.5/13,Very Comfortable,"A versatile mid-high boot built to perform and protect with a waterproof-breathable construction, grippy outsole, and light cushioned midsole that stays responsive with every step.",4.3
14,14,Women's Minx™ Shorty III Boot - Wide,Women's Minx™ Shorty III Boot - Wide,1,6477.12,14,"Basalt, Camel Brown",,,,,2001431,27 Reviews,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,,"With cozy thermal-reflective lining, lightweight insulation, and rain-ready waterproof-breathability, this grippy winter boot takes you from sidewalk to trail with ease.",4.3
15,15,Men's Firecamp™ Fleece Lined Shoe,Men's Firecamp™ Fleece Lined Shoe,3,6224.6784,12,"Night Wave, Cedar","Light Sand, Marionberry","Oxford Tan, Fawn",,,1803151,1663 Reviews,5/5.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"Warm, waterproof, and stylish. These sure-footed boots feature toasty thermal-reflective lining and a waterproof-breathable bootie, ensuring dry strides all winter long.",4.5
16,16,Women's Firecamp™ Fleece Lined Shoe,Women's Firecamp™ Fleece Lined Shoe,2,8096.4,14,"Graphite, Shasta","Black, White",,,,1865231,436 Reviews,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"Insulated and fleece lined, these shoes are winter winners.",4.7
17,17,Women's Fairhaven™ Slipper,Women's Fairhaven™ Slipper,1,2657.28,6,"Hawk, Elk",,,,,1998151,172 Reviews,7/7.5/8/11.5/12/14,Very Comfortable,This cozy moccasin slipper with a rubber sole pairs well with hot cocoa and a crackling fire,4.7
18,18,Men's Fairhaven™ Slipper,Men's Fairhaven™ Slipper,2,3321.6,14,"Black, Titanium MHW",,,,,1928751,10 Reviews,7/7.5/8/8.5/9/9.5/10/10.5/11/11.5/12/13/14/15,,"A comfy, cushioned boot with thermal-reflective lining.",4.8
19,19,Women's Red Hills™ Omni-Heat™ Boot,Women's Red Hills™ Omni-Heat™ Boot,2,6228,1,"Dark Grey, Gold Amber","Black, Ti Grey Steel",,,,1865011,521 Reviews,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"Insulated and fleece lined, these shoes are winter winners.",4.3
20,20,Grey Sneakers for Men,Grey Sneakers for Men,3,2246,1,GREY,BLACK,BLUE,,,FGC0Z7045232A,0,44,PU,"Bright Woodsports branding adds a attractive appeal to this grey sneaker for men. Designed from polyurethane ,the sneaker features mesh detail on upper that keeps it breathable, is set on rubber/phylon arch supporting sole and has memory foam insole that takes the shape of your foot and provides maximum comfort.",0
21,21,Black high-top boots for women,Black high-top boots for women,2,3497,0,BLACK,DBLUE,,,,FLC0260T0642A,0,0,SYNTHETIC,"High-top boots from Woodsport stand out with their knit detailing and contrast colour on eyelets. These black high ankle boots feature cushioned tongue that protects foot from lace pressure, knit construction in ankles, D-ring rust free metal eyelets and a comfortable and shock absorbing midsole and an outer sole with deep lugs on it.",0
22,22,Olive/black sneakers for men,Olive/black sneakers for men,1,2277,0,OLIVE/BLACK,,,,,FGC0Y9032092A,0,0,MESH PU,"Trendy pair of casual sneakers in olive and black are chic and comfortable. The modern sneakers feature mesh detail and come in a lace-up style, has round toe silhouette and outsole with lugs on it that gives the shoe an excellent tread. The versatile shoes also have pull tabs on rear, mild cushioning on collar and contrasting color detail with leather accents that adds to the aesthetics of the shoe.",0
23,23,Sand Sports Shoe for men,Sand Sports Shoe for men,2,4797,0,SAND,BLACK,,,,FGC0510S0052A,0,0,SUEDE,"A breathable and compression fit upper adds to the comfort and street-chic style of a sporty sneaker that is set on a durable outsole with moderate traction on it. The sand sporty shoe comes in a suede finish, is set on a chunky sole with arched heel support, pull tabs on rear and Woodsports branding on sides.",0
24,24,Blue sneakers for men,Blue sneakers for men,3,2500,1,BLUE,GREY,BLACK,,,FGC0H40U8422A,0,44,FABRIC,"Mid high-top sneakers in blue are made from breathable fabric and come in a lace-up style. The chunky sole is comfortable to wear all day long, cushioned collars and the tongue provide comfort and protect feet from lace pressure.",0
25,25,Light purple casual sneaker for women,Light purple casual sneaker for women,2,3497,0,LPURPLE,BEIGE,,,,FLC0DY0T7832A,0,0,SUEDE MESH,"Light purple trendy and sporty casual sneaker in lace-up style is built from breathable suede mesh upper. Featuring a contoured chunky outsole, pull tabs on rear and cushioned collar. The casual sneakers are ideal for walks through cities and park.",0
26,26,Grey/Green Sports Shoe for men,Grey/Green Sports Shoe for men,2,4797,2,GREY/GREEN,GREY/GREEN,,,,FGC0EM0S0162A,0,44/45,SUEDE FABRIC,"Sporty detailing adds comfort to this casual and lightweight, all-activity sneaker that has multi color detail on fabric upper. The casual shoe for men features cushioned collar and tongue, arched heel support, pull tabs on rear, Woodsports branding on sides and suede accents that enhance its appearance.",0
